farmers_ahead,currently_waiting,currently_processing,active_counters,average_processing_time,hour,day_of_week,waiting_time_minutes
16,20,3,4,8.14,17,6,36.8
25,33,1,3,6.92,15,1,58.7
7,9,1,2,7.75,15,4,31.1
28,28,3,2,7.71,15,1,94.5
25,28,3,5,7.01,10,5,58.1
9,17,4,5,6.88,10,4,27.5
25,28,3,1,11.03,14,6,322.2
29,30,2,1,5.49,15,4,169.6
1,10,3,1,9.74,11,3,16.6
18,22,4,5,6.21,12,3,38.6
8,10,4,1,7.41,11,6,76.9
6,14,4,1,5.43,15,5,37.3
3,6,3,3,6.89,15,5,12.9
25,30,3,1,10.38,12,1,306.9
20,21,1,2,11.2,15,6,95.3
17,22,1,5,6.55,13,0,42.8
12,14,2,4,8.24,9,6,23.4
10,18,1,3,8.29,12,1,40.6
28,29,2,5,11.12,15,5,58.7
23,31,4,5,10.34,10,0,89.7
3,7,1,2,8.59,10,6,17.7
24,31,3,1,9.7,9,1,193.6
20,21,1,2,10.93,10,2,131.0
28,33,2,1,5.07,16,2,122.9
24,26,1,1,7.82,16,0,199.6
3,12,4,5,11.35,16,3,16.7
9,13,3,1,10.18,9,0,95.3
4,11,2,3,8.8,9,1,18.8
8,17,3,3,8.71,12,4,46.2
23,23,3,3,7.43,14,2,76.4
2,6,2,5,8.64,16,4,8.8
16,18,3,2,9.59,10,2,97.1
2,5,3,4,7.93,11,1,14.0
15,16,1,1,10.0,14,2,174.7
3,11,3,4,11.03,12,0,20.2
17,19,3,2,6.08,10,4,84.7
16,17,3,2,8.16,15,5,57.5
6,15,3,5,7.86,12,4,27.5
23,31,2,3,9.81,16,1,70.0
22,28,4,3,6.75,16,5,54.3
29,34,1,2,9.48,15,4,145.7
4,4,3,5,11.14,17,6,11.2
11,15,3,5,7.93,12,1,30.1
16,18,2,1,11.38,15,6,147.2
22,22,4,3,11.95,9,3,81.8
12,15,3,2,5.74,12,0,58.6
22,23,2,4,6.63,10,2,55.0
24,25,1,3,11.65,17,6,85.2
2,4,1,1,11.71,13,2,28.0
8,15,3,5,5.68,11,2,20.0
29,36,3,2,5.1,12,3,101.6
16,22,4,3,6.13,14,0,61.8
16,21,4,4,11.97,9,4,60.0
29,37,3,1,6.26,15,6,157.7
19,22,2,1,8.52,16,4,168.9
15,15,4,3,10.94,15,0,64.5
24,31,3,4,5.14,15,5,42.2
21,27,4,1,9.23,17,0,206.4
12,18,3,2,6.94,12,2,59.0
26,28,1,1,11.04,15,4,294.3
18,21,3,4,6.98,17,0,42.4
16,25,1,5,9.81,13,4,57.0
3,11,4,5,9.72,10,0,15.4
11,16,3,3,6.55,13,1,39.6
28,32,4,4,5.24,12,6,53.3
8,10,1,1,7.86,16,2,53.2
18,26,3,1,7.02,13,0,198.0
11,15,4,5,10.66,17,3,26.0
8,12,1,5,10.6,17,0,23.4
6,9,4,2,8.2,11,1,34.7
27,30,2,5,9.25,14,3,69.8
13,13,1,2,9.23,14,3,75.8
19,25,1,1,10.79,12,0,306.3
18,26,1,2,7.98,11,1,88.3
25,27,3,2,6.93,9,3,78.7
14,15,3,3,6.86,15,6,36.0
15,17,3,5,8.75,13,2,40.8
20,20,2,2,8.14,15,5,76.2
4,9,2,1,8.08,9,2,34.1
2,8,1,4,5.64,16,4,6.5
11,12,2,2,10.03,11,4,91.5
24,31,4,5,6.5,15,1,41.1
19,24,1,3,6.38,11,3,54.3
26,29,1,1,7.89,11,2,242.3
20,24,4,3,6.59,17,2,43.5
3,10,1,4,9.09,10,5,16.1
20,22,2,2,7.6,12,1,99.9
22,24,3,2,8.14,14,6,111.9
15,18,4,5,8.76,11,3,41.1
24,24,2,2,6.42,15,1,71.2
6,14,4,1,6.09,15,0,44.2
12,19,4,4,11.16,13,2,46.6
20,27,1,3,8.04,11,1,71.8
9,18,1,4,7.88,10,1,27.7
25,30,2,2,5.25,12,5,87.4
6,12,4,3,8.49,12,6,29.1
13,18,1,5,8.88,16,0,33.8
25,33,1,4,8.91,16,4,68.2
4,6,4,3,9.95,13,2,22.5
2,4,2,3,6.24,14,5,10.1
22,24,2,3,6.77,16,6,51.1
28,37,4,1,10.68,9,6,247.0
10,12,2,4,11.63,13,1,40.1
10,18,1,3,5.95,12,2,31.8
17,20,4,4,8.48,12,4,62.4
14,20,1,3,6.5,10,6,45.8
11,19,3,5,5.42,9,1,23.2
8,14,3,5,7.28,14,6,20.9
9,17,2,5,6.01,15,0,20.2
25,27,3,2,9.97,13,6,155.9
11,14,1,3,8.74,16,2,30.2
16,23,3,2,6.01,17,6,50.5
28,33,1,4,5.06,10,6,54.6
5,9,2,2,10.66,12,5,33.0
6,9,2,4,6.23,17,0,16.1
13,20,1,4,9.24,13,4,50.2
12,12,3,4,7.36,11,4,42.0
7,15,2,2,9.1,14,2,42.9
9,9,4,3,7.21,11,4,39.2
8,15,2,2,5.61,13,3,36.4
17,20,3,3,6.56,11,5,54.4
26,34,4,3,6.32,14,2,77.8
25,29,3,4,8.0,13,6,69.4
1,3,1,2,9.61,17,3,4.9
4,12,4,3,6.85,11,4,23.5
28,36,3,5,5.08,14,6,50.7
4,7,4,3,8.63,16,2,14.7
5,8,3,5,9.24,15,3,11.5
18,25,4,2,11.74,14,4,167.3
7,8,3,2,9.13,10,1,42.4
15,23,1,2,8.3,15,1,62.3
12,17,4,3,9.01,16,0,46.9
0,8,4,1,11.5,9,1,15.6
21,28,4,3,10.8,17,3,71.5
19,25,4,3,7.26,12,5,63.4
16,16,1,4,6.66,16,1,25.7
6,8,4,4,6.84,15,2,18.2
24,25,2,3,8.53,15,2,68.1
12,16,1,5,10.21,10,2,33.6
3,7,2,4,8.52,9,1,9.2
3,7,4,3,5.47,12,6,11.4
5,8,3,1,10.07,10,1,59.8
27,31,2,5,10.64,16,0,72.4
18,20,4,2,7.03,15,5,61.6
28,28,2,3,9.65,16,6,82.5
11,15,4,3,7.99,14,5,40.9
21,29,4,5,11.22,9,6,55.7
6,14,4,4,10.92,17,6,21.9
26,29,3,4,8.68,14,4,97.4
9,11,2,4,9.84,9,0,25.5
25,25,1,2,11.18,9,3,117.8
18,19,1,5,8.47,16,2,32.7
6,13,1,5,7.19,14,1,16.8
29,29,1,4,10.28,16,4,85.9
2,9,4,4,6.54,16,4,12.6
12,18,2,1,7.72,16,6,78.2
12,19,2,1,11.06,15,1,111.9
17,22,3,3,10.07,15,0,68.4
27,35,2,3,7.83,12,4,118.1
29,31,2,5,6.5,17,5,43.8
25,34,2,5,7.49,10,0,67.3
19,22,3,2,6.99,17,1,60.6
27,32,1,2,6.23,11,6,104.2
7,14,2,1,10.2,10,0,112.3
28,32,3,3,6.76,12,6,89.1
8,10,3,1,8.18,13,5,82.9
6,11,4,1,7.7,10,2,61.8
0,3,3,3,11.87,9,6,1.0
2,10,1,2,7.74,13,6,11.9
12,14,2,3,5.56,17,1,25.4
27,30,3,4,5.63,13,5,58.6
29,35,1,4,9.14,17,1,65.4
24,30,3,4,9.2,14,5,78.4
27,30,3,5,7.93,11,5,63.8
16,21,3,2,8.02,12,4,104.5
24,26,3,2,5.38,12,4,105.5
23,28,3,5,8.62,9,4,55.5
0,1,1,1,8.53,11,2,2.1
5,12,2,4,6.05,11,2,13.0
20,21,2,4,5.73,9,5,31.2
5,11,2,1,5.87,17,3,28.5
25,33,2,3,5.71,9,1,54.0
11,11,1,3,9.27,17,4,38.7
12,19,4,2,6.38,9,1,41.3
12,18,4,5,6.76,10,6,27.8
28,33,1,2,6.22,10,5,113.9
14,19,1,3,11.7,14,0,86.0
20,25,3,1,10.98,15,5,181.4
15,23,3,2,6.61,9,2,53.7
21,22,3,4,7.29,11,3,56.5
20,20,2,4,6.47,10,0,53.6
10,15,3,1,8.44,16,1,70.7
27,36,4,3,5.14,17,2,54.4
4,11,2,4,9.7,10,4,18.3
3,5,3,4,8.66,10,0,16.2
2,11,2,5,11.29,17,2,10.3
18,18,4,2,6.15,12,1,74.6
19,27,3,3,10.63,13,5,88.7
24,24,4,2,10.54,17,1,114.7
17,19,4,3,5.89,14,0,66.1
14,21,4,4,7.79,17,0,39.3
8,10,3,5,6.19,17,5,15.9
16,19,1,2,6.78,15,0,62.0
13,20,3,4,6.84,17,3,28.1
14,14,4,3,8.89,13,4,68.4
0,5,3,2,7.88,13,2,2.3
20,20,4,2,11.63,16,5,99.5
21,21,1,4,5.88,12,1,45.2
21,28,2,2,11.82,17,1,107.5
2,5,1,5,6.61,15,4,2.0
15,15,1,5,10.41,15,0,38.6
22,31,2,4,7.37,11,0,73.0
24,30,3,3,6.0,12,1,72.3
10,14,2,4,11.01,15,4,35.6
11,15,3,5,7.16,13,1,24.4
9,9,3,1,9.61,11,0,127.1
15,24,4,1,8.97,9,5,115.8
7,12,4,2,8.3,15,2,30.6
5,13,2,2,8.47,14,0,39.9
11,19,1,1,10.13,15,5,94.0
23,30,2,5,5.61,10,2,45.7
27,31,3,2,9.68,12,6,160.3
20,20,4,4,11.27,10,3,78.1
7,15,2,4,5.4,16,4,19.1
25,25,2,5,5.98,15,5,31.3
27,34,4,2,10.02,9,3,124.5
3,7,4,4,8.06,10,0,16.5
25,27,4,2,7.82,10,6,126.4
7,13,3,2,5.96,12,4,37.1
25,31,4,4,8.55,11,5,79.8
27,35,1,1,5.89,9,6,134.4
17,23,2,4,8.34,10,0,64.2
27,29,4,5,10.35,17,4,72.6
27,27,4,3,6.81,9,4,73.5
4,11,3,4,8.37,17,0,20.1
8,10,3,2,11.94,15,0,54.8
3,10,2,2,9.81,10,6,24.3
26,33,1,4,10.89,10,6,91.0
21,25,2,3,7.9,13,5,78.9
16,16,4,4,10.38,13,4,68.4
8,17,1,3,5.28,12,5,25.9
0,6,1,3,5.86,11,6,1.0
20,29,1,5,6.42,12,4,48.5
19,23,1,2,7.81,12,5,95.5
12,19,2,2,10.92,10,0,106.2
27,35,3,3,7.42,13,0,111.1
15,21,3,2,9.58,13,1,95.0
28,34,4,1,9.97,13,6,334.4
12,12,3,3,9.1,9,5,34.4
13,16,3,2,7.5,14,1,68.0
2,3,3,1,9.04,10,1,22.2
28,29,3,5,7.4,15,3,45.6
5,6,4,2,5.59,12,4,28.2
17,20,2,1,11.95,13,2,237.2
18,18,1,4,5.89,13,3,38.7
4,7,3,4,5.51,13,6,13.1
14,15,2,1,11.15,10,4,232.4
24,28,3,3,7.11,13,2,80.5
1,3,3,3,9.55,11,1,7.9
9,16,1,2,7.3,12,2,45.0
23,26,1,4,7.74,10,0,77.9
29,29,1,3,6.83,12,6,88.7
17,17,3,3,7.4,17,0,53.0
26,35,3,4,7.87,16,5,54.5
12,14,3,5,10.04,11,4,44.9
4,12,1,3,8.58,9,3,13.0
22,28,4,1,11.6,9,6,208.7
23,24,2,2,5.29,14,1,80.3
0,8,4,3,8.52,11,6,2.2
21,30,3,3,9.09,12,4,108.6
0,1,3,5,11.44,9,1,3.4
17,19,4,1,5.34,16,0,97.4
14,23,3,2,9.01,9,6,59.4
16,17,2,3,10.98,13,3,72.1
10,12,3,2,6.69,14,3,45.1
20,25,2,4,11.13,10,0,93.3
25,33,4,3,5.13,15,2,50.2
24,32,4,3,10.13,15,3,78.4
21,27,3,4,11.53,9,2,63.3
26,28,2,5,9.6,12,1,65.2
26,29,3,3,8.07,12,3,96.4
16,21,1,2,5.31,13,5,56.3
12,16,1,1,11.44,9,0,141.6
0,1,1,2,8.29,9,6,1.0
1,6,1,5,5.2,15,2,7.5
8,10,3,1,9.83,17,5,65.3
2,9,1,2,8.37,9,1,11.2
0,1,2,2,5.87,10,1,4.1
20,20,4,4,6.5,14,3,46.1
15,23,4,5,5.45,14,3,30.6
22,24,1,4,9.02,10,5,66.3
5,5,1,1,9.35,17,4,47.1
27,33,1,4,8.54,12,4,95.6
16,25,3,5,10.72,15,3,39.1
4,8,4,3,11.03,14,4,30.4
4,8,1,3,9.31,11,0,21.6
5,5,2,1,5.09,16,5,26.0
2,10,1,3,9.87,15,0,9.6
20,26,4,4,7.93,17,4,51.4
22,29,1,1,8.96,11,3,238.4
4,12,4,5,9.54,9,0,15.7
20,25,1,1,7.45,10,1,176.2
4,8,2,1,11.42,9,6,37.1
9,14,1,2,5.94,13,3,39.0
9,10,2,2,9.7,10,5,54.8
18,21,2,1,5.03,11,2,112.2
16,18,1,3,11.47,16,2,54.9
20,26,2,2,5.79,13,3,79.9
13,21,3,5,5.66,12,4,32.8
8,12,1,4,7.33,13,0,31.8
13,18,1,2,7.61,14,0,79.8
0,9,2,1,6.5,15,3,8.1
18,19,2,3,9.1,17,1,53.4
12,14,1,4,8.1,9,5,25.3
12,14,3,2,5.24,12,4,53.2
3,11,2,3,7.24,17,1,13.0
29,35,2,3,10.67,13,3,133.5
0,7,4,3,9.83,16,3,2.9
16,25,3,1,10.07,9,1,137.2
7,15,3,5,9.89,12,2,27.6
1,6,1,3,7.18,17,3,9.6
27,30,3,4,5.7,9,5,46.7
7,7,1,2,6.91,9,6,26.2
6,13,4,4,10.82,12,4,32.1
25,31,3,1,11.86,11,1,351.1
25,26,2,1,8.46,15,2,177.2
1,8,4,4,5.07,11,1,7.6
21,25,1,5,5.98,9,2,29.4
21,27,4,1,7.25,10,2,190.5
2,5,1,1,9.05,12,5,21.6
26,30,4,4,5.53,9,4,49.2
17,24,1,1,11.6,9,3,164.8
11,11,3,5,7.56,16,2,23.1
0,0,2,5,11.39,15,3,2.1
21,24,1,5,10.46,16,4,53.7
11,13,4,2,10.29,12,3,72.8
4,13,1,5,9.25,14,5,15.3
29,30,1,5,9.39,11,5,77.6
29,31,1,2,9.47,16,0,148.2
26,26,4,3,9.4,12,5,111.2
24,24,2,1,8.88,11,2,249.9
16,21,3,5,11.9,12,4,66.7
15,19,2,1,10.13,14,5,180.1
14,21,1,4,10.44,15,1,35.4
22,23,4,1,11.11,15,4,252.6
14,17,2,2,6.51,12,2,61.3
4,11,1,1,5.59,16,4,28.5
20,25,3,1,8.38,15,5,146.2
13,13,3,1,8.6,10,1,135.5
1,4,3,3,10.8,16,0,11.0
10,10,1,3,8.11,17,2,26.0
18,19,4,4,9.0,13,6,61.3
6,10,2,2,8.69,12,2,40.5
5,12,3,1,5.27,12,4,47.3
27,34,1,1,9.31,12,6,295.5
1,3,1,1,10.8,14,6,13.4
5,8,2,1,6.1,12,3,40.5
17,26,3,3,9.16,15,6,54.6
1,6,1,4,9.16,15,3,6.7
17,26,2,5,6.15,13,6,37.2
29,31,4,2,5.86,13,1,112.9
14,15,4,1,11.86,16,0,171.8
26,31,4,4,7.76,15,0,67.3
18,22,3,5,6.59,15,6,34.3
1,10,2,4,6.2,14,4,10.7
19,23,2,3,9.67,15,4,72.6
24,33,1,5,9.27,15,3,50.5
5,9,1,4,9.5,10,5,17.4
0,9,1,3,5.62,10,0,1.0
23,27,2,4,11.25,15,5,61.2
14,16,1,4,7.72,15,0,33.8
27,33,2,5,7.19,15,5,44.5
29,34,2,3,8.24,13,5,108.0
22,25,4,1,7.73,9,0,180.1
9,10,1,2,11.05,10,1,59.5
18,26,4,5,11.5,17,1,50.8
16,16,3,3,7.12,16,4,46.2
4,7,3,4,11.05,16,5,15.2
28,28,3,3,10.47,9,5,90.5
3,8,2,2,11.52,14,5,22.8
9,12,2,2,6.72,17,5,32.8
23,27,2,1,9.04,16,5,173.5
16,20,1,1,6.92,11,3,136.9
9,17,4,2,10.77,12,2,64.8
16,16,2,5,5.04,11,5,27.1
27,28,4,5,8.95,14,3,70.5
19,24,4,4,7.37,17,1,41.7
23,27,4,1,7.26,16,5,140.4
4,10,1,4,9.51,12,1,16.1
1,3,1,1,10.96,10,4,15.3
5,7,3,2,9.26,16,2,24.8
20,29,3,5,10.97,16,0,53.8
1,2,4,5,6.85,14,2,3.4
12,14,3,2,8.64,16,5,50.5
29,38,4,4,8.15,17,5,64.1
10,10,1,4,5.08,9,2,12.9
10,14,1,3,8.9,17,2,32.0
15,19,1,1,9.63,10,4,217.1
10,16,2,4,9.14,9,6,28.0
18,21,4,2,10.15,16,1,82.8
14,16,1,4,9.0,16,0,43.7
24,24,4,5,5.47,12,6,42.7
22,29,3,1,5.82,16,2,116.6
22,24,3,3,9.18,15,0,78.8
15,16,1,1,6.92,10,2,121.1
10,13,4,5,5.56,13,1,23.5
21,23,1,5,8.01,12,0,59.4
15,15,3,5,8.88,11,6,37.5
7,9,1,5,7.3,9,3,10.8
3,4,4,2,10.04,13,1,23.3
7,14,3,3,9.51,16,6,26.9
3,8,2,5,7.33,17,0,5.0
23,31,3,5,10.28,15,2,54.3
24,31,2,4,9.54,9,6,57.6
2,11,1,3,9.46,9,2,7.8
2,4,1,1,8.87,9,1,18.3
26,30,4,3,5.08,10,1,66.3
28,34,2,3,9.88,9,6,88.9
17,21,1,3,7.63,12,2,59.1
28,35,2,5,11.6,17,0,79.9
25,29,1,5,10.73,12,6,72.8
18,18,3,2,9.11,12,3,104.0
18,22,1,1,6.77,15,4,128.2
20,23,4,4,6.43,17,1,36.9
4,9,3,3,7.38,15,2,16.0
17,19,4,1,8.34,9,0,150.6
27,31,3,1,7.07,9,1,162.1
9,10,2,2,8.6,12,0,64.2
28,33,4,4,6.16,12,1,66.3
21,26,1,3,11.84,9,2,75.1
20,24,2,4,5.76,14,0,52.2
5,10,1,2,11.52,10,2,38.5
0,6,3,5,11.4,13,0,2.5
4,8,3,1,8.68,16,1,35.2
8,8,1,3,10.07,11,4,41.9
11,18,1,5,8.05,17,4,24.8
25,28,2,2,9.41,15,6,105.2
13,21,1,4,7.38,17,3,28.5
1,10,4,1,7.11,9,3,12.4
16,21,4,3,9.05,13,6,70.1
13,13,1,5,8.49,11,6,27.8
25,27,4,5,9.06,12,5,68.1
12,14,1,1,7.01,12,2,98.9
26,35,2,4,7.57,15,0,68.3
8,11,4,2,5.59,16,3,23.2
25,30,4,4,5.37,13,1,56.8
24,30,1,4,6.77,15,6,44.1
14,23,4,4,5.52,11,4,41.0
24,27,3,1,5.73,11,0,212.3
21,26,2,1,10.69,11,5,266.6
14,14,2,2,5.27,12,4,59.2
23,30,4,4,9.61,14,6,77.3
29,35,4,1,6.91,13,0,308.1
10,18,3,2,11.1,16,6,49.8
15,17,3,2,8.39,13,3,80.1
28,29,4,4,7.14,13,3,78.7
16,16,4,3,8.62,10,2,61.0
25,27,3,4,7.67,13,5,70.7
3,7,1,3,8.95,15,0,11.6
0,1,3,2,5.8,10,5,5.5
7,9,1,1,11.98,14,1,100.4
16,19,2,5,7.98,15,5,31.8
2,8,2,2,7.44,13,6,13.6
28,30,3,1,9.97,17,6,233.2
19,27,1,2,7.55,12,3,91.5
14,21,3,4,10.83,9,2,41.5
14,17,3,3,8.18,16,6,40.1
23,23,1,2,10.04,16,3,96.5
21,21,3,1,5.75,15,4,129.5
13,13,2,4,10.92,16,3,35.1
25,25,4,5,10.15,10,0,86.9
27,34,4,4,6.48,11,2,72.5
22,24,3,3,6.02,17,6,45.3
13,18,1,4,7.21,9,0,33.7
23,25,1,5,11.83,16,1,54.6
1,5,2,1,6.8,16,1,9.6
12,18,1,2,8.19,15,3,44.3
25,26,1,3,5.21,13,2,58.9
13,18,2,5,7.78,12,5,31.3
26,31,3,3,9.0,14,2,100.2
23,25,4,4,11.67,9,2,64.1
18,23,2,3,8.62,13,2,66.8
6,15,3,5,10.73,12,3,26.8
2,11,2,2,8.83,12,0,20.7
14,18,3,2,5.29,15,3,40.7
22,23,2,3,7.21,17,5,53.2
13,21,3,1,9.03,16,0,127.1
10,17,2,3,11.65,16,5,41.8
14,16,3,4,11.01,13,4,64.2
27,34,2,2,6.6,14,4,144.3
12,20,4,2,6.54,10,6,58.4
17,19,4,2,6.41,11,6,71.0
25,27,1,1,11.46,13,0,429.9
5,6,3,1,10.97,10,3,67.8
2,9,2,5,10.42,11,5,11.0
18,27,3,3,7.75,12,5,69.2
14,14,4,3,8.53,14,6,57.0
24,31,3,4,8.25,13,6,71.8
22,28,2,2,6.77,12,1,97.7
4,10,3,1,8.54,10,5,43.0
27,29,2,4,5.21,13,3,52.5
9,9,4,4,5.92,13,1,24.4
6,9,4,1,11.21,15,3,60.7
24,32,4,3,10.26,9,2,82.8
16,20,1,2,7.96,12,5,80.6
6,6,4,3,8.62,13,2,23.8
21,25,3,4,7.59,16,4,54.7
25,32,1,2,10.19,16,4,141.3
29,36,4,5,10.49,9,0,80.5
11,15,3,4,10.34,13,5,41.3
24,32,3,3,10.06,9,6,80.0
16,16,3,3,6.43,9,1,43.1
12,15,2,3,7.37,10,2,41.8
19,21,1,1,8.29,10,3,184.2
24,25,3,4,7.32,17,5,46.0
3,10,2,2,10.28,12,0,29.8
9,15,4,3,7.31,11,3,32.2
2,10,3,3,5.97,9,2,11.0
8,9,2,1,7.79,10,5,76.9
12,15,3,2,11.86,14,6,92.7
17,22,1,4,6.58,17,2,34.0
14,16,1,5,9.29,13,5,38.6
3,10,4,1,8.03,12,5,31.6
14,16,3,4,5.5,13,2,33.5
21,22,2,5,8.42,17,2,39.6
1,3,4,3,9.92,15,3,9.0
14,19,3,3,8.59,16,0,46.9
7,8,4,2,11.1,12,2,50.2
7,14,2,5,7.02,16,4,15.3
16,16,4,3,5.6,14,0,50.1
11,17,4,3,11.56,13,4,72.5
18,19,4,2,7.65,15,3,63.5
9,18,3,4,9.03,14,2,38.9
8,13,2,3,10.54,11,0,47.7
4,5,1,1,7.27,13,6,38.5
5,6,3,1,10.01,17,2,41.2
19,28,1,4,5.95,15,5,33.0
25,32,1,5,7.04,12,2,53.8
1,2,3,2,6.01,15,6,4.9
26,32,3,1,10.68,13,0,414.7
23,25,2,1,6.56,10,2,181.7
26,33,2,4,10.02,14,2,88.4
12,18,4,5,11.6,15,1,37.0
5,12,1,5,8.69,16,1,13.4
4,10,2,4,8.78,14,0,20.0
24,29,4,1,8.23,16,0,210.5
0,6,2,2,7.28,15,5,4.2
20,24,3,1,8.33,10,5,200.4
21,27,2,5,9.22,14,2,56.1
20,20,1,1,11.9,17,4,242.2
5,5,2,2,11.56,14,0,48.3
5,13,1,3,11.04,12,6,29.3
22,26,3,1,11.22,15,2,202.4
15,19,1,4,8.27,11,4,54.9
3,5,2,3,9.6,13,1,14.8
29,33,4,4,11.27,9,5,80.5
10,12,3,4,7.75,11,6,29.3
29,37,2,4,11.73,16,0,100.0
29,37,3,1,7.91,17,2,196.6
29,34,3,5,9.21,17,1,58.2
23,23,2,3,9.97,10,3,97.9
22,28,2,2,11.65,12,1,154.9
8,14,4,5,6.71,13,2,21.9
22,31,3,1,10.22,11,5,268.5
2,11,3,4,8.65,9,4,10.6
18,21,2,2,6.88,14,6,80.5
7,14,1,3,10.44,10,6,33.3
4,9,2,5,8.87,17,3,11.6
3,6,3,5,9.63,9,6,10.7
23,26,2,2,7.26,17,3,74.8
5,6,4,1,8.37,15,5,38.4
1,2,1,3,9.32,10,3,5.7
19,22,2,2,7.83,14,0,120.6
27,31,4,4,6.39,16,2,50.7
10,17,3,3,11.73,10,6,53.1
3,8,2,5,8.58,13,3,12.2
14,17,3,2,10.14,14,1,93.6
5,11,4,5,7.88,11,4,22.4
21,28,3,5,7.49,10,2,51.3
16,17,4,5,7.85,14,5,41.3
29,35,4,1,7.86,11,6,278.3
23,24,4,5,8.81,10,1,62.1
5,6,2,4,8.8,9,0,16.7
18,25,3,4,8.48,16,3,44.9
29,30,3,3,5.94,9,1,57.4
24,32,1,5,8.47,13,2,56.7
1,1,1,5,6.18,14,6,3.3
14,22,1,2,5.88,11,1,56.5
10,10,1,1,11.53,15,0,116.8
7,16,3,3,9.23,10,4,42.6
25,34,4,5,9.62,15,3,51.5
18,19,4,2,7.81,10,2,90.4
12,17,2,1,11.36,13,6,161.6
11,16,4,3,9.47,15,3,34.5
4,4,3,3,10.38,11,3,23.8
5,11,3,5,7.58,12,5,13.8
25,32,3,3,11.72,9,3,89.9
21,22,2,2,10.74,11,1,139.9
3,10,1,3,10.98,17,1,14.9
18,26,4,4,6.21,13,4,53.1
19,24,3,2,6.9,16,0,78.6
0,4,3,1,7.0,10,6,9.6
19,27,1,1,6.9,11,6,164.1
16,24,3,5,10.99,15,2,40.9
11,11,4,5,5.22,12,1,21.8
14,16,2,4,5.53,17,3,21.9
0,8,3,1,6.92,15,0,7.5
25,26,4,1,6.4,9,2,135.9
13,16,3,1,6.62,12,6,109.6
5,8,1,1,10.59,14,2,64.0
4,5,3,3,8.94,14,2,20.1
29,31,3,2,5.04,14,6,101.2
10,12,2,2,8.01,13,2,47.5
3,3,1,4,7.86,11,4,13.4
12,17,1,3,5.8,10,2,34.2
10,17,2,1,9.73,11,0,150.0
2,4,3,1,9.91,17,1,18.7
0,4,4,5,10.05,11,0,1.0
5,5,1,5,10.1,11,3,15.5
17,26,1,4,5.0,9,5,32.6
23,29,3,1,11.68,10,4,403.3
9,18,3,4,10.7,11,4,47.9
4,4,1,3,11.33,10,3,19.4
22,30,3,2,5.11,16,6,57.4
9,16,4,1,11.54,14,0,158.9
11,17,1,3,10.67,15,0,45.3
1,10,4,1,10.86,9,3,13.0
12,18,4,5,5.65,14,6,25.8
7,11,3,4,10.17,10,5,26.9
1,5,4,5,11.72,14,2,9.1
19,23,3,2,9.75,11,6,117.3
0,0,2,5,8.99,15,2,1.9
4,11,3,1,11.62,11,1,60.3
8,8,4,5,8.1,17,0,19.5
16,19,2,1,9.2,11,0,217.6
8,16,3,2,8.33,15,3,34.4
10,18,4,5,11.53,12,3,36.0
14,18,1,4,5.53,16,2,24.1
23,26,1,4,8.51,10,6,68.5
5,7,3,4,9.81,16,0,20.3
22,24,3,5,10.54,17,0,60.1
2,6,1,5,9.08,16,4,6.9
29,38,4,5,11.36,14,1,93.1
16,16,4,1,11.59,9,1,151.6
4,8,4,2,5.45,15,2,13.3
29,34,3,4,7.82,9,5,62.5
27,33,2,1,5.16,15,6,121.9
11,19,2,4,7.31,10,0,36.4
17,19,2,1,8.76,16,4,153.9
13,14,2,5,11.38,10,6,39.5
20,22,2,4,10.93,11,0,89.8
23,31,3,5,5.89,11,3,48.6
10,16,3,4,5.65,9,6,20.1
8,16,2,3,9.12,13,2,31.7
1,2,3,1,8.72,13,6,13.8
11,15,3,3,6.86,13,5,37.6
2,5,2,1,11.3,17,6,21.2
2,3,4,2,11.49,14,6,17.7
0,8,3,4,7.82,14,6,2.7
7,15,4,2,11.23,11,1,55.2
21,26,3,2,7.69,13,0,130.0
27,32,3,1,10.16,15,5,227.0
28,35,2,3,8.33,11,2,103.0
7,12,3,5,5.86,10,1,16.7
10,10,1,1,11.5,13,0,173.2
8,11,1,5,8.18,11,4,25.5
4,10,2,2,10.14,13,2,30.9
13,14,4,5,7.57,17,0,32.1
27,35,4,3,5.13,9,1,55.2
29,36,4,1,5.7,12,1,207.1
2,9,1,3,8.47,13,4,9.8
20,26,4,3,9.83,10,2,89.3
4,7,4,1,7.34,10,2,40.3
4,5,2,3,9.87,9,5,17.8
18,20,4,4,9.89,16,0,58.2
26,31,1,4,9.93,10,5,84.9
13,17,1,4,8.45,11,1,39.6
25,32,1,5,11.4,10,1,78.5
29,34,2,3,8.42,12,6,108.5
3,8,2,1,8.15,9,4,27.5
24,24,3,1,6.4,11,4,234.6
12,15,4,5,7.15,13,2,29.7
9,13,2,1,5.3,9,5,44.6
24,26,1,4,9.43,12,1,73.8
17,25,1,3,6.74,14,6,53.0
7,7,2,1,7.13,12,0,79.3
7,12,2,1,10.4,15,6,60.8
6,11,2,2,7.29,15,3,21.6
7,16,3,2,6.7,14,0,43.6
13,17,1,2,6.18,17,4,45.7
18,22,3,3,10.42,10,0,100.5
28,37,3,4,5.91,16,1,50.2
5,9,4,4,8.18,16,5,13.2
0,5,1,4,8.55,12,6,1.0
22,29,1,3,9.81,14,2,97.9
14,15,2,3,9.43,14,5,58.8
0,5,2,2,10.68,13,3,1.5
